Author,Title,Publish,Link
Lorenzo Franceschi-Bicchierai,Hackers breach and expose a major North Korean spying operation,"Aug 12, 2025",https://techcrunch.com/2025/08/12/hackers-breach-and-expose-a-major-north-korean-spying-operation/
Lorenzo Franceschi-Bicchierai,Someone is trying to recruit security researchers in bizarre hacking campaign,"Apr 1, 2025",https://techcrunch.com/2025/04/01/someone-is-trying-to-recruit-security-researchers-in-bizarre-hacking-campaign/
Lorenzo Franceschi-Bicchierai,UK government wants ransomware victims to report breaches so it can carry out ‘targeted disruptions’ against hackers,"Jul 22, 2025",https://techcrunch.com/2025/07/22/uk-government-wants-ransomware-victims-to-report-cyberattacks-so-it-can-disrupt-the-hackers/
Lorenzo Franceschi-Bicchierai,North Korean hackers exploited Chrome zero-day to steal crypto,"Aug 30, 2024",https://techcrunch.com/2024/08/30/north-korean-hackers-exploited-chrome-zero-day-to-steal-crypto/
Lorenzo Franceschi-Bicchierai,Hackers who exposed North Korean government hacker explain why they did it,"Aug 21, 2025",https://techcrunch.com/2025/08/21/hackers-who-exposed-north-korean-government-hacker-explain-why-they-did-it/
Zack Whittaker,"PowerSchool paid a hacker’s ransom, but now schools say they are being extorted","May 8, 2025",https://techcrunch.com/2025/05/08/powerschool-paid-a-hackers-ransom-but-now-schools-say-they-are-being-extorted/
Zack Whittaker,Norway spy chief blames Russian hackers for hijacking dam,"Aug 14, 2025",https://techcrunch.com/2025/08/14/norway-spy-chief-blames-russian-hackers-for-hijacking-dam/
Zack Whittaker,VC firm Insight Partners says thousands of staff and limited partners had personal data stolen in a ransomware attack,"Sep 17, 2025",https://techcrunch.com/2025/09/17/vc-giant-insight-partners-notifies-staff-and-limited-partners-after-data-breach/
Zack Whittaker,Elmo’s X account hacked to publish racist and antisemitic posts,"Jul 14, 2025",https://techcrunch.com/2025/07/14/sesame-street-elmo-x-account-hacked-racist-antisemetic-posts/
Zack Whittaker,Sex toy maker Lovense caught leaking users’ email addresses and exposing accounts to takeovers,"Jul 29, 2025",https://techcrunch.com/2025/07/29/sex-toy-maker-lovense-caught-leaking-users-email-addresses-and-exposing-accounts-to-takeovers/
Zack Whittaker,"Cyber giant F5 Networks says government hackers had ‘long-term’ access to its systems, stole code and customer data",3 days ago,https://techcrunch.com/2025/10/15/cyber-giant-f5-networks-says-government-hackers-had-long-term-access-to-its-systems-stole-code-and-customer-data/
